abuojėti, uojėti_uojėja_uojėjo
adinėti, inėti_inėja_inėjo
aikčioti, čioti_čioja_čiojo
aneksuoti, eksuoti_eksuoja_eksavo
antspauduoti, spauduoti_spauduoja_spaudavo
asimiliuoti, iuoti_iuoja_iavo
asmenuoti, enuoti_enuoja_enavo
automatizuoti, izuoti_izuoja_izavo
bakstelėti, telėti_teli_telėjo
balsuoti, suoti_suoja_savo
baltuoti, tuoti_tuoja_tavo
barstyti, styti_̃sto_̃stė
barstytis, stytis_̃stosi_̃stėsi
bėginėti, inėti_inė́ja_inė́ja
bidzenti, dzenti_zdena_zdeno
bjurti, jurti_jursta_juro
blefuoti, lefuoti_lefuoja_lefavo
blęsti, lęsti_lendžia_lendė
brazdėti, razdėti_razda_razdė́jo
bučiuoti, iuoti_iuoja_iavo
bučiuotis, iuotis_iuojasi_iavosi
būgštauti, štauti_gtauja_gštavo
burbuliuoti, uliuoti_uliuoja_uliavo
buriuoti, iuoti_iuoja_iavo
būriuoti, iuoti_iuoja_iavo
bylinėtis, inėtis_inė́jasi_inė́josi
čiuožinėti, inėti_inė́ja_inė́ja
civilizuoti, izuoti_izuoja_izavo
dainuoti, inuoti_inuoja_inavo
dalyvauti, yvauti_yvauja_yvavo
dangstytis, stytis_stosi_stėsi
daužinėti, inėti_inėja_inėjosi
davinėti, inėti_inė́ja_inė́ja
deaktivuoti, aktivuoti_aktyvuoja_aktyvavo
deportuoti, portuoti_portuoja_portavo
dėstyti, styti_́sto_́stė
devalvuoti, valvuoti_valvuoja_valvavo
didžiuotis, iuotis_iuojasi_iavosi
dievagotis, agotis_agojasi_agojosi
dirbinėti, inėti_inė́ja_inė́jo
direktoriauti, oriauti_oriauja_oriavo
dirstelėti, telėti_telėja_telėjo
dominuoti, inuoti_inuoti_inavo
dovanoti, anoti_anoja_anojo
dovanotis, anotis_anoja_anojo
drabstyti, styti_sto_stė
dramatizuoti, atizuoti_atizuoja_atizavo
drybsoti, rybsoti_rỹbso_rybsojo
dubliouti, iouti_iuoja_iavo
dulksnoti, snoti_snoja_snojo
dvejoti, ejoti_ejoja_ejojo
dykinėti, inėti_inė́ja_inė́jo
eidinėti, dinėti_dinė́ja_dinėjo
eiliuoti, iuoti_iuoja_iavo
eksperimentuoti, tuoti_tuoja_tavo
ekzaminuoti, zaminuoti_zaminuoja_zaminavo
ekzistuoti, zistuoti_zistuoja_zistavo
elektrifikuoti, ifikuoti_ifikuoja_ifikavo
elgegauti, egauti_etauja_etavo
emuliuoti, uliuoti_uliuoja_uliavo
fotografuoti, grafuoti_grafuoja_grafavo
garbanoti, anoti_anoja_anojo
gąstauti, tauti_tauja_tavo
geltonėti, onėti_onė́ja_onėjo
geltonuoti, onuoti_onuoja_onavo
gervuogiauti, uogiauti_uogiauja_uogiavo
giminuotis, inuotis_inuojasi_iniavosi
ginčyti, inčyti_inčija_inčijo
ginčytis, inčytis_inčijasi_inčijosi
ginkluoti, inkluoti_inkluoja_inklavo
girtauti, tauti_tauja_tavo
glerti, lerti_lęra_lero
gnaibyti, naibyti_naibo_naibė
gnybtelėti, nybtelėti_nybtelėja_nybtelėjo
gnybti, nybti_nybia_nybė
grabinėti, inėti_inė́ja_inė́jo
grizti, rizti_ryzta_rizo
grobstyti, styti_sto_stė
grybštelėti, štelėti_štelėja_štelėjo
gurkšnoti, šnoti_šnoja_šnojo
hipnotizuoti, izuoti_izuoja_izavo
irkluoti, kluoti_kluoja_klavo
issigąsti, sigąsti_sigą̃sta_sigando
isšikeroti, šikeroti_sikeroja_sikerojo
izoliuoti, iuoti_iuoja_iavo
jodinėti, inėti_inė́ja_inė́jo
kainuoti, inuoti_inuoja_inavo
kariauti, iauti_iauja_iavo
karščiuoti, iuoti_iuoja_iavo
karščiuotis, iuotis_iuojasi_avosi
kasinėti, inėti_inė́ja_inė́jo
keiksnoti, snoti_snoja_snojo
keliauti, iauti_iauja_iavo
kerštauti, tauti_tauja_tavo
kibirkščiuoti, iuoti_iuoja_iavo
kilstelėti, telėti_teli_telėjo
kirčiuoti, iuoti_iuoja_iavo
klausinėti, inėti_inė́ja_inė́jo
kliedėti, iedėti_iedi_iedė́jo
kliustelėti, stelėti_stelėja_stelė́jo
klostytis, stytis_stosi_stėsi
kniaukti, niaukti_niaũkia_niaũkė
kniūbčioti, čioti_čioja_čiojo
kolaboruoti, aboruoti_aboruoja_aboravo
kolekcionuoti, ionuoti_ionuoja_ionavo
kolonizuoti, izuoti_izuoja_izavo
kombinuoti, inuoti_inuoja_inavo
kompiuterizuoti, izuoti_izuoja_izavo
kontempliuoti, templiuoti_templiuoja_templiavo
kontroliuoti, iuoti_iuoja_iavo
koordinuoti, inuoti_inuoja_inavo
kraustyti, styti_sto_stėsi
kraustytis, stytis_stosi_stėsi
krūptelėti, telėti_ptelėja_ptelėjo
krustelėti, telėti_teli_telėjo
kryžiuoti, iuoti_iuoja_iavo
laistyti, styti_sto_stė
laisvėti, svėti_svė́ja_svė́jo
lakstyti, styti_sto_stė
lankstyti, styti_sto_stė
lenktyniauti, tyniauti_tyniauja_tyniavo
leptelėti, telėti_telėja_telėjo
lesinėti, inėti_inė́ja_inė́jo
liežuvauti, uvauti_uvauja_uvavo
lignuoti, nuoti_guoja_gavo
linkčioti, čioti_čioja_čiojo
linksmėti, smėti_smėja_smė́jo
linksniuoti, sniuoti_sniuoja_sniavo
linktelėti, telėti_telėja_telėjo
lukterėti, terėti_terėja_terėjo
lyžtelėti, žtelėti_žtelėja_žtelėjo
mainyti, inyti_ĩno_ĩnė
malonėti, onėti_onė́ja_onė́jo
manipuliuoti, iuoti_iuoja_iavo
marguliuoti, uliuoti_uliuoja_uliavo
marinuoti, inuoti_inuoja_inavo
maskatuoti, atuoti_atuoja_atavo
mėgdžioti, džioti_gdžioja_gdžiojo
meilikauti, ikauti_ikauja_ikavo
mėlynėti, ynėti_ynėja_ynėjo
mėlynuoti, ynuoti_ynuoja_ynavo
mindyti, indyti_ind_indė
minėti, inėti_ini_inė́jo
mirguliuoti, uliuoti_uliuoja_uliavo
mirkčioti, čioti_čioja_čiojo
mirktelėti, telėti_telėja_telėjo
mokytojauti, ytojauti_ytojauja_ytojavo
mosikuoti, ikuoti_ikuoja_ikavo
mušinėti, inėti_inė́ja_inėjo
muturiuoti, uriuoti_uriuoja_uriavo
nagrinėti, inėti_inė́ja_inė́jo
narplioti, lioti_lioja_liojo
nerimauti, imauti_imauja_imavo
niūniuoti, iuoti_iuoja_iavo
nominuoti, inuoti_inuoja_inavo
obliuoti, iuoti_iuoja_iavo
obuoliauti, iauti_iauja_iavo
ožiuotis, iuotis_iuojasi_iavosi
piktnaudžiauti, tnaudžiauti_tnaudžiauja_tnaudžiavo
pirkinėti, inėti_inėja_inė́jo
pirstelėti, stelėti_stelėja_stelė́jo
pjaustyti, styti_sto_stė
planiruoti, iruoti_iruoja_iravo
pleiskanoti, anoti_anoja_anojo
plėšikauti, ikauti_ikauja_ikavo
plevėsuoti, ėsuoti_ėsuoja_ėsavo
pliumptelėti, telėti_telėja_telėjo
plūduriuoti, uriuoti_duriuoja_duriavo
poilsiauti, ilsiauti_ilsiauja_ilsiavo
pokštelėti, elėti_elėja_elėjo
posėdžiauti, sėdžiauti_sėdžiauja_sėdžiavo
prekiauti, iauti_iauja_iavo
puldinėti, dinėti_dinė́ja_dinė́jo
pūliuoti, iuoti_iuoja_iavo
puoselėti, elėti_elėja_elėjo
pūškuoti, škuoti_škuoja_škavo
raikyti, ikyti_ĩko_ĩkė
ramstytis, stytis_̃stosi_̃stėsi
rašinėti, inėti_inė́ja_inė́jo
raudonėti, onėti_onėja_onėjo
raudonuoti, onuoti_onuoja_onavo
raukšlėti, šlėti_šlė́ja_šlė́jo
raukšlėtis, šlėtis_šlė́jasi_šlėjosi
realizuoti, izuoti_izuoja_izavo
reguliuoti, iuoti_iuoja_iavo
reikalauti, alauti_alauja_alavo
rekonstruoti, konstruoti_konstruoja_konstravo
repečkoti, ečkoti_ečkoja_ečkojo
režisuoti, žisuoti_žisuoja_žisavo
rikiuoti, iuoti_iuoja_iavo
rikiuotis, iuotis_iuojasi_iavosi
rungtyniauti, tyniauti_tyniauja_tyniavo
rūšiuoti, ūšiuoti_ūšiuoja_ūšiavo
